href,name,cuisine,price_4_two
https://www.swiggy.com/restaurants/kaapi-katte-gubbi-veeranna-road-malleshwaram-bangalore-491572,KAAPI KATTE,"South Indian, Combo",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/sandwich-guru-bull-temple-rd-basavanagudi-bangalore-154343,Sandwich Guru,"Snacks, Beverages",â‚¹99 FOR TWO
https://www.swiggy.com/restaurants/kalpavriksha-upahara-4th-t-block-jayanagar-bangalore-163504,Kalpavriksha Upahara,"South Indian, North Indian, Chinese",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/new-udupi-grand-nanjappa-layout-adugodi-bangalore-434488,New Udupi Grand,"South Indian, North Indian, Chinese, Beverages",â‚¹250 FOR TWO
https://www.swiggy.com/restaurants/hot-coffee-bovipalya-malleshwaram-bangalore-588182,Hot Coffee,"South Indian, Indian, Beverages",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/cakezone-domlur-layout-indiranagar-bangalore-29784,CakeZone,"Bakery, Desserts, Sweets, Ice Cream",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/lassi-shop-3rd-stage-banashankari-bangalore-609510,Lassi Shop,Beverages,â‚¹190 FOR TWO
https://www.swiggy.com/restaurants/galli-kitchen-2nd-stage-banashankari-bangalore-526823,GALLI KITCHEN,"South Indian, Fast Food",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/eatfit-ali-asker-road-cunningham-road-bangalore-393107,EatFit,"Healthy Food, Pizzas, North Indian, Thalis, Biryani, Chinese",â‚¹270 FOR TWO
https://www.swiggy.com/restaurants/shrinidhi-military-hotel-south-end-road-basavanagudi-bangalore-375141,Shrinidhi Military Hotel,South Indian,â‚¹299 FOR TWO
https://www.swiggy.com/restaurants/sln-tiffin-room-muddanna-hotel-halsurpete-basavanagudi-bangalore-483910,Sln tiffin room muddanna hotel,South Indian,â‚¹40 FOR TWO
https://www.swiggy.com/restaurants/anand-sweets-and-savouries-kodihalli-indiranagar-bangalore-262,Anand Sweets & Savouries,"Sweets, Chaat, Snacks, Desserts, North Indian",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/asha-food-camp-sampige-road-malleshwaram-bangalore-214166,Asha Food Camp,"Indian, Beverages, Biryani, Chinese, Desserts, Ice Cream, Juices, Tandoor, North...",â‚¹250 FOR TWO
https://www.swiggy.com/restaurants/sri-ganesh-upahara-govindaraja-nagar-ward-vijayanagar-bangalore-643250,Sri Ganesh Upahara,"South Indian, Chinese",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/glens-bakehouse-lavelle-road-ashok-nagar-bangalore-17376,Glen's Bakehouse,"Desserts, Bakery, Beverages, Continental, Italian",â‚¹500 FOR TWO
https://www.swiggy.com/restaurants/sagar-fast-food-8th-block-koramangala-bangalore-113839,Sagar fast food,"Chinese, South Indian, North Indian",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/sn-refreshments-2nd-phase-jp-nagar-bangalore-499759,SN Refreshments,South Indian,â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/sri-vishnu-grand-veg-gandhi-nagar-majestic-bangalore-625034,Sri Vishnu Grand Veg,"South Indian, North Indian, Chinese",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/mulbagal-dosa-corner-railway-parallel-road-malleshwaram-bangalore-626149,Mulbagal Dosa Corner,South Indian,â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/udupi-upahar-hmt-layout-r-t-nagar-bangalore-292688,Udupi Upahar,"South Indian, North Indian, Chinese, Chaat, Beverages",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/the-dessert-zone-millars-road-vasanth-nagar-bangalore-403197,The Dessert Zone,"Bakery, Desserts, Ice Cream, Beverages",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/pizza-house-am-road-sulthangunta-shivaji-nagar-bangalore-657064,Pizza House,Pizzas,â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/shri-ayodhya-2nd-stage-basaveshwara-nagar-bangalore-60853,Shri Ayodhya,"Chinese, North Indian, Continental, American, Desserts, Italian, Beverages",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/ranganna-military-hotel-7th-block-jayanagar-bangalore-70490,Ranganna Military Hotel,South Indian,â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/dairy-day-ice-creams-2nd-stage-basavanagudi-bangalore-601601,Dairy Day Ice Creams,"Ice Cream, Desserts",â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/rajathadri-food-fort-7th-block-jayanagar-bangalore-61983,Rajathadri Food Fort,"Chinese, South Indian, North Indian, Desserts",â‚¹350 FOR TWO
https://www.swiggy.com/restaurants/davanagere-benne-dose-4th-block-jayanagar-bangalore-326125,Davanagere Benne Dose,South Indian,â‚¹120 FOR TWO
https://www.swiggy.com/restaurants/rishis-paratha-plaza-ashwanth-nagar-sanjay-nagar-bangalore-390962,Rishi's Paratha Plaza,North Indian,â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/chaat-street-dr-rajkumar-road-rajajinagar-bangalore-580317,Chaat Street,"Chaat, Snacks, Street Food, Indian, Beverages",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/the-pastry-zone-venkatamma-layout-kammanahalli-kalyan-nagar-bangalore-342142,THE PASTRY ZONE,"Bakery, Desserts, Beverages, Ice Cream",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/new-shanthi-sagar-rv-road-jayanagar-bangalore-12396,New Shanthi Sagar,"North Indian, Chinese, Fast Food",â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/leons-burgers-and-wings-leon-grill-koramangala-bangalore-65797,Leon's - Burgers & Wings (Leon Grill),"American, Snacks, Turkish, Portuguese, Continental",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/chefmaster-4th-t-block-jayanagar-bangalore-62758,Chefmaster,"South Indian, Kerala, Seafood",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/raghavendra-tiffins-1st-block-koramangala-bangalore-407900,Raghavendra Tiffins,"South Indian, North Indian, Chinese, Indian",â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/swadista-aahar-2nd-stage-btm-layout-bangalore-176315,Swadista Aahar,"South Indian, Snacks, North Indian, Chinese",â‚¹250 FOR TWO
https://www.swiggy.com/restaurants/cakewala-4th-block-jayanagar-bangalore-29071,Cakewala,Desserts,â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/roti-ghar-gandhi-bazaar-main-road-basavanagudi-bangalore-94759,Roti Ghar,"Chinese, South Indian, North Indian, Desserts, Fast Food, Beverages, Mughlai",â‚¹400 FOR TWO
https://www.swiggy.com/restaurants/snacks-corner-kodihalli-indiranagar-bangalore-328786,Snacks Corner,"Snacks, North Indian, Beverages, Street Food",â‚¹350 FOR TWO
https://www.swiggy.com/restaurants/puneri-katta-2nd-stage-btm-bangalore-242631,Puneri Katta,"Maharashtrian, North Indian, Fast Food",â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/ande-ka-funda-1st-phase-jp-nagar-bangalore-244337,Ande Ka Funda,North Indian,â‚¹99 FOR TWO
https://www.swiggy.com/restaurants/faasos-wraps-and-rolls-residency-road-shantinagar-bangalore-396741,Faasos - Wraps & Rolls,"Fast Food, North Indian, Street Food, Desserts",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/fresh-bites-appareddy-palya-indiranagar-bangalore-18464,Fresh Bites,"North Indian, South Indian, Chinese, Juices, Tandoor",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/lulu-hypermarket-mysore-deviation-road-rajajinagar-bangalore-510627,Lulu Hypermarket,"Arabian, Continental, North Indian, Chinese",â‚¹350 FOR TWO
https://www.swiggy.com/restaurants/thatte-idli-junction-banaswadi-kammanahalli-kalyan-nagar-bangalore-652920,Thatte Idli Junction,South Indian,â‚¹150 FOR TWO
https://www.swiggy.com/restaurants/tks-iyengars-3rd-stage-beml-layout-basaveshwara-nagar-bangalore-154356,TKS Iyengars,South Indian,â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/chikkanna-tiffin-room-cubbonpet-nagarathpete-city-market-bangalore-226779,Chikkanna Tiffin Room(Cubbonpet),"South Indian, Snacks",â‚¹200 FOR TWO
https://www.swiggy.com/restaurants/theobroma-vittal-malya-road-ashok-nagar-bangalore-426730,Theobroma,"Desserts, Bakery, Beverages",â‚¹500 FOR TWO
https://www.swiggy.com/restaurants/truecakes-fresh-eggless-cakes-krishna-reddy-colony-domlur-bangalore-510328,TrueCakes - Fresh | Eggless | Cakes,"Bakery, Desserts",â‚¹300 FOR TWO
https://www.swiggy.com/restaurants/davanagere-benne-dose-hotel-mahalakshmi-layout-rajajinagar-bangalore-247812,Davanagere Benne Dose Hotel,Indian,â‚¹100 FOR TWO
https://www.swiggy.com/restaurants/umesh-refreshments-udp-hal-2nd-stage-indiranagar-bangalore-562233,Umesh Refreshments UDP,"South Indian, Beverages",â‚¹200 FOR TWO
